,num,element,oxi_state,min_radius,max_radius
0,89,Ac,0+,2.0,2.0
1,89,Ac,3+,1.26,1.26
2,47,Ag,0+,1.44,1.44
3,47,Ag,1+,0.81,1.42
4,47,Ag,2+,0.93,1.08
5,47,Ag,3+,0.81,0.89
6,13,Al,0+,1.43,1.43
7,13,Al,3+,0.53,0.675
8,95,Am,0+,1.73,1.73
9,95,Am,2+,1.35,1.45
10,95,Am,3+,1.115,1.23
11,95,Am,4+,0.99,1.09
12,18,Ar,0+,0.71,0.71
13,33,As,0+,1.15,1.15
14,33,As,3+,0.72,0.72
15,33,As,5+,0.475,0.6
16,85,At,0+,2.0,2.0
17,85,At,7+,0.76,0.76
18,79,Au,0+,1.44,1.44
19,79,Au,1+,1.51,1.51
20,79,Au,3+,0.82,0.99
21,79,Au,5+,0.71,0.71
22,5,B,0+,0.85,0.85
23,5,B,3+,0.15,0.41
24,56,Ba,0+,2.22,2.22
25,56,Ba,2+,1.49,1.75
26,4,Be,0+,1.12,1.12
27,4,Be,2+,0.3,0.59
28,83,Bi,0+,1.6,1.6
29,83,Bi,3+,1.1,1.31
30,83,Bi,5+,0.9,0.9
31,97,Bk,0+,1.7,1.7
32,97,Bk,3+,1.1,1.1
33,97,Bk,4+,0.97,1.07
34,35,Br,0+,1.15,1.15
35,35,Br,1-,1.82,1.82
36,35,Br,3+,0.73,0.73
37,35,Br,5+,0.45,0.45
38,35,Br,7+,0.39,0.53
39,6,C,0+,0.7,0.7
40,6,C,4+,0.06,0.3
41,20,Ca,0+,1.97,1.97
42,20,Ca,2+,1.14,1.48
43,48,Cd,0+,1.52,1.52
44,48,Cd,2+,0.92,1.45
45,58,Ce,0+,1.82,1.82
46,58,Ce,3+,1.15,1.48
47,58,Ce,4+,1.01,1.28
48,98,Cf,0+,1.86,1.86
49,98,Cf,3+,1.09,1.09
50,17,Cl,0+,1.0,1.0
51,17,Cl,1-,1.67,1.67
52,17,Cl,5+,0.26,0.26
53,17,Cl,7+,0.22,0.41
54,96,Cm,0+,1.74,1.74
55,96,Cm,3+,1.11,1.11
56,96,Cm,4+,0.99,1.09
57,27,Co,0+,1.25,1.25
58,27,Co,2+,0.72,1.04
59,27,Co,3+,0.685,0.75
60,27,Co,4+,0.54,0.67
61,24,Cr,0+,1.28,1.28
62,24,Cr,2+,0.87,0.94
63,24,Cr,3+,0.755,0.755
64,24,Cr,4+,0.55,0.69
65,24,Cr,5+,0.485,0.71
66,24,Cr,6+,0.4,0.58
67,55,Cs,0+,2.65,2.65
68,55,Cs,1+,1.81,2.02
69,29,Cu,0+,1.28,1.28
70,29,Cu,1+,0.6,0.91
71,29,Cu,2+,0.71,0.87
72,29,Cu,3+,0.68,0.68
73,66,Dy,0+,1.78,1.78
74,66,Dy,2+,1.21,1.33
75,66,Dy,3+,1.052,1.223
76,68,Er,0+,1.76,1.76
77,68,Er,3+,1.03,1.202
78,99,Es,0+,1.86,1.86
79,63,Eu,0+,1.8,1.8
80,63,Eu,2+,1.31,1.49
81,63,Eu,3+,1.087,1.26
82,9,F,0+,0.5,0.5
83,9,F,1-,1.145,1.19
84,9,F,7+,0.22,0.22
85,26,Fe,0+,1.26,1.26
86,26,Fe,2+,0.77,1.06
87,26,Fe,3+,0.63,0.92
88,26,Fe,4+,0.725,0.725
89,26,Fe,6+,0.39,0.39
90,87,Fr,0+,3.48,3.48
91,87,Fr,1+,1.94,1.94
92,31,Ga,0+,1.35,1.35
93,31,Ga,3+,0.61,0.76
94,64,Gd,0+,1.8,1.8
95,64,Gd,3+,1.078,1.247
96,32,Ge,0+,1.25,1.25
97,32,Ge,2+,0.87,0.87
98,32,Ge,4+,0.53,0.67
99,1,H,0+,0.25,0.25
100,1,H,1+,-0.24,-0.04
101,72,Hf,0+,1.59,1.59
102,72,Hf,4+,0.72,0.97
103,80,Hg,0+,1.51,1.51
104,80,Hg,1+,1.11,1.33
105,80,Hg,2+,0.83,1.28
106,67,Ho,0+,1.76,1.76
107,67,Ho,3+,1.041,1.26
108,53,I,0+,1.4,1.4
109,53,I,1-,2.06,2.06
110,53,I,5+,0.58,1.09
111,53,I,7+,0.56,0.67
112,49,In,0+,1.67,1.67
113,49,In,3+,0.76,1.06
114,77,Ir,0+,1.36,1.36
115,77,Ir,3+,0.82,0.82
116,77,Ir,4+,0.765,0.765
117,77,Ir,5+,0.71,0.71
118,19,K,0+,2.27,2.27
119,19,K,1+,1.51,1.78
120,57,La,0+,1.87,1.87
121,57,La,3+,1.172,1.5
122,3,Li,0+,1.52,1.52
123,3,Li,1+,0.73,1.06
124,71,Lu,0+,1.74,1.74
125,71,Lu,3+,1.001,1.172
126,12,Mg,0+,1.6,1.6
127,12,Mg,2+,0.71,1.03
128,25,Mn,0+,1.27,1.27
129,25,Mn,2+,0.8,1.1
130,25,Mn,3+,0.72,0.785
131,25,Mn,4+,0.53,0.67
132,25,Mn,5+,0.47,0.47
133,25,Mn,6+,0.395,0.395
134,25,Mn,7+,0.39,0.6
135,42,Mo,0+,1.39,1.39
136,42,Mo,3+,0.83,0.83
137,42,Mo,4+,0.79,0.79
138,42,Mo,5+,0.6,0.75
139,42,Mo,6+,0.55,0.87
140,7,N,0+,0.65,0.65
141,7,N,3-,1.32,1.32
142,7,N,3+,0.3,0.3
143,7,N,5+,0.044,0.27
144,11,Na,0+,1.86,1.86
145,11,Na,1+,1.13,1.53
146,41,Nb,0+,1.46,1.46
147,41,Nb,3+,0.86,0.86
148,41,Nb,4+,0.82,0.93
149,41,Nb,5+,0.62,0.88
150,60,Nd,0+,1.81,1.81
151,60,Nd,2+,1.43,1.49
152,60,Nd,3+,1.123,1.41
153,28,Ni,0+,1.25,1.25
154,28,Ni,2+,0.69,0.83
155,28,Ni,3+,0.74,0.7
156,28,Ni,4+,0.62,0.62
157,102,No,0+,2.0,2.0
158,102,No,2+,1.24,1.24
159,93,Np,0+,1.55,1.55
160,93,Np,2+,1.24,1.24
161,93,Np,3+,1.15,1.15
162,93,Np,4+,1.01,1.12
163,93,Np,5+,0.89,0.89
164,93,Np,6+,0.86,0.86
165,93,Np,7+,0.85,0.85
166,8,O,0+,0.6,0.6
167,8,O,2-,1.21,1.28
168,76,Os,0+,1.35,1.35
169,76,Os,4+,0.77,0.77
170,76,Os,5+,0.715,0.715
171,76,Os,6+,0.63,0.685
172,76,Os,7+,0.665,0.665
173,76,Os,8+,0.53,0.53
174,15,P,0+,1.0,1.0
175,15,P,3+,0.58,0.58
176,15,P,5+,0.31,0.52
177,91,Pa,0+,1.63,1.63
178,91,Pa,3+,1.18,1.18
179,91,Pa,4+,1.04,1.15
180,91,Pa,5+,0.92,1.09
181,82,Pb,0+,1.8,1.8
182,82,Pb,2+,1.12,1.63
183,82,Pb,4+,0.79,1.08
184,46,Pd,0+,1.37,1.37
185,46,Pd,1+,0.73,0.73
186,46,Pd,2+,0.78,1.0
187,46,Pd,3+,0.9,0.9
188,46,Pd,4+,0.755,0.755
189,61,Pm,0+,1.83,1.83
190,61,Pm,3+,1.11,1.284
191,84,Po,0+,1.9,1.9
192,84,Po,4+,1.08,1.22
193,84,Po,6+,0.81,0.81
194,59,Pr,0+,1.39,1.39
195,59,Pr,3+,1.13,1.319
196,59,Pr,4+,0.99,1.1
197,78,Pt,0+,1.39,1.39
198,78,Pt,2+,0.74,0.94
199,78,Pt,4+,0.765,0.765
200,78,Pt,5+,0.71,0.71
201,94,Pu,0+,1.59,1.59
202,94,Pu,3+,1.14,1.14
203,94,Pu,4+,1.0,1.1
204,94,Pu,5+,0.88,0.88
205,94,Pu,6+,0.85,0.85
206,88,Ra,0+,2.83,2.83
